check,line_item,fiscal_year,selected_value,other_value,other_accession,status
companyfacts_api,long_term_debt,2021,6692.0,6692.0,0000909832-22-000021,MATCH
companyfacts_api,lt_operating_lease_liab,2021,2642.0,2642.0,0000909832-22-000021,MATCH
companyfacts_api,other_lt_liabilities,2021,2415.0,2415.0,0000909832-22-000021,MATCH
companyfacts_api,total_liabilities,2021,41190.0,41190.0,0000909832-22-000021,MATCH
companyfacts_api,costco_equity,2021,17564.0,17564.0,0000909832-22-000021,MATCH
companyfacts_api,nci,2021,514.0,514.0,0000909832-22-000021,MATCH
companyfacts_api,total_equity,2021,18078.0,18078.0,0000909832-22-000021,MATCH
companyfacts_api,total_liabilities_equity,2021,59268.0,59268.0,0000909832-22-000021,MATCH
companyfacts_api,shares_outstanding,2021,441.825,441.825,0000909832-22-000021,MATCH
companyfacts_api,cash,2022,10203.0,10203.0,0000909832-23-000042,MATCH
companyfacts_api,short_term_investments,2022,846.0,846.0,0000909832-23-000042,MATCH
companyfacts_api,receivables,2022,2241.0,2241.0,0000909832-23-000042,MATCH
companyfacts_api,inventories,2022,17907.0,17907.0,0000909832-23-000042,MATCH
companyfacts_api,other_current_assets,2022,1499.0,1499.0,0000909832-23-000042,MATCH
companyfacts_api,total_current_assets,2022,32696.0,32696.0,0000909832-23-000042,MATCH
companyfacts_api,ppe_net,2022,24646.0,24646.0,0000909832-23-000042,MATCH
companyfacts_api,operating_lease_rou,2022,2774.0,2774.0,0000909832-23-000042,MATCH
companyfacts_api,other_lt_assets,2022,4050.0,4050.0,0000909832-23-000042,MATCH
companyfacts_api,total_assets,2022,64166.0,64166.0,0000909832-23-000042,MATCH
companyfacts_api,accounts_payable,2022,17848.0,17848.0,0000909832-23-000042,MATCH
companyfacts_api,accrued_salaries,2022,4381.0,4381.0,0000909832-23-000042,MATCH
companyfacts_api,accrued_member_rewards,2022,1911.0,1911.0,0000909832-23-000042,MATCH
companyfacts_api,deferred_membership_fees,2022,2174.0,2174.0,0000909832-23-000042,MATCH
companyfacts_api,current_debt,2022,73.0,73.0,0000909832-23-000042,MATCH
companyfacts_api,other_current_liabilities,2022,5611.0,5611.0,0000909832-23-000042,MATCH
companyfacts_api,total_current_liabilities,2022,31998.0,31998.0,0000909832-23-000042,MATCH
companyfacts_api,long_term_debt,2022,6484.0,6484.0,0000909832-23-000042,MATCH
companyfacts_api,lt_operating_lease_liab,2022,2482.0,2482.0,0000909832-23-000042,MATCH
companyfacts_api,other_lt_liabilities,2022,2555.0,2555.0,0000909832-23-000042,MATCH
companyfacts_api,total_liabilities,2022,43519.0,43519.0,0000909832-23-000042,MATCH
companyfacts_api,costco_equity,2022,20642.0,20642.0,0000909832-23-000042,MATCH
companyfacts_api,nci,2022,5.0,5.0,0000909832-23-000042,MATCH
companyfacts_api,total_equity,2022,20647.0,20647.0,0000909832-23-000042,MATCH
companyfacts_api,total_liabilities_equity,2022,64166.0,64166.0,0000909832-23-000042,MATCH
companyfacts_api,shares_outstanding,2022,442.664,442.664,0000909832-23-000042,MATCH
companyfacts_api,cash,2023,13700.0,13700.0,0000909832-24-000049,MATCH
companyfacts_api,short_term_investments,2023,1534.0,1534.0,0000909832-24-000049,MATCH
companyfacts_api,receivables,2023,2285.0,2285.0,0000909832-24-000049,MATCH
companyfacts_api,inventories,2023,16651.0,16651.0,0000909832-24-000049,MATCH
companyfacts_api,other_current_assets,2023,1709.0,1709.0,0000909832-24-000049,MATCH
companyfacts_api,total_current_assets,2023,35879.0,35879.0,0000909832-24-000049,MATCH
companyfacts_api,ppe_net,2023,26684.0,26684.0,0000909832-24-000049,MATCH
companyfacts_api,operating_lease_rou,2023,2713.0,2713.0,0000909832-24-000049,MATCH
companyfacts_api,other_lt_assets,2023,3718.0,3718.0,0000909832-24-000049,MATCH
companyfacts_api,total_assets,2023,68994.0,68994.0,0000909832-24-000049,MATCH
companyfacts_api,accounts_payable,2023,17483.0,17483.0,0000909832-24-000049,MATCH
companyfacts_api,accrued_salaries,2023,4278.0,4278.0,0000909832-24-000049,MATCH
companyfacts_api,accrued_member_rewards,2023,2150.0,2150.0,0000909832-24-000049,MATCH
companyfacts_api,deferred_membership_fees,2023,2337.0,2337.0,0000909832-24-000049,MATCH
companyfacts_api,current_debt,2023,1081.0,1081.0,0000909832-24-000049,MATCH
companyfacts_api,other_current_liabilities,2023,6254.0,6254.0,0000909832-24-000049,MATCH
companyfacts_api,total_current_liabilities,2023,33583.0,33583.0,0000909832-24-000049,MATCH
companyfacts_api,long_term_debt,2023,5377.0,5377.0,0000909832-24-000049,MATCH
companyfacts_api,lt_operating_lease_liab,2023,2426.0,2426.0,0000909832-24-000049,MATCH
companyfacts_api,other_lt_liabilities,2023,2550.0,2550.0,0000909832-24-000049,MATCH
